Symbol,Name,Market Cap,Country,IPO Year,Sector,Industry
A,Agilent Technologies Inc. Common Stock,41528129595,United States,1999,Capital Goods,Electrical Products
AA,Alcoa Corporation Common Stock ,10517067893,,2016,Basic Industries,Metal Fabrications
AAC,Ares Acquisition Corporation Class A Ordinary Shares,1217500000,,2021,Finance,Business Services
AACG,ATA Creativity Global American Depositary Shares,54909610,China,,Miscellaneous,Service to the Health Industry
AACI,Armada Acquisition Corp. I Common Stock,203160195,United States,2021,,
AACIU,Armada Acquisition Corp. I Unit,0,United States,2021,,
AACIW,Armada Acquisition Corp. I Warrant,0,United States,2021,,
AADI,Aadi Bioscience Inc. Common Stock,396986551,United States,,Health Care,Biotechnology: Pharmaceutical Preparations
AAIC,Arlington Asset Investment Corp Class A (new),107344819,United States,,Consumer Services,Real Estate Investment Trusts
AAIC^B,Arlington Asset Investment Corp 7.00% ,,United States,,,
AAIC^C,Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock   ,,United States,,,
AAIN,Arlington Asset Investment Corp 6.000% Senior Notes Due 2026,0,United States,,,
AAL,American Airlines Group Inc. Common Stock,10554486709,United States,,Transportation,Air Freight/Delivery Services
AAM^A,Apollo Asset Management Inc. 6.375% Series A Preferred Stock,,United States,,,
AAM^B,Apollo Asset Management Inc. 6.375% Series B Preferred Stock,,United States,,,
AAME,Atlantic American Corporation Common Stock,46463153,United States,,Finance,Life Insurance
AAN,Aarons Holdings Company Inc. Common Stock ,671222826,United States,2020,Miscellaneous,Diversified Commercial Services
AAOI,Applied Optoelectronics Inc. Common Stock,105368917,United States,2013,Technology,Semiconductors
AAON,AAON Inc. Common Stock,3442424450,United States,,Capital Goods,Industrial Machinery/Components
AAP,Advance Auto Parts Inc.,14101623279,United States,,Consumer Services,Other Specialty Stores
AAPL,Apple Inc. Common Stock,2.81576E+12,United States,1980,Technology,Computer Manufacturing
AAQC,Accelerate Acquisition Corp. Class A Common Stock,485000000,,2021,,
AAT,American Assets Trust Inc. Common Stock,2149781911,United States,2011,Consumer Services,Real Estate Investment Trusts
AATC,Autoscope Technologies Corporation Common Stock,32448197,United States,,Capital Goods,Industrial Machinery/Components
AAU,Almaden Minerals Ltd. Common Shares,39108101,Canada,2015,,
AAWW,Atlas Air Worldwide Holdings NEW Common Stock,2273205468,United States,,Transportation,Transportation Services
AB,AllianceBernstein Holding L.P.  Units,4724398440,United States,,Finance,Investment Managers
ABB,ABB Ltd Common Stock,72525270000,Switzerland,,Consumer Durables,Electrical Products
ABBV,AbbVie Inc. Common Stock,2.33325E+11,United States,2012,Health Care,Other Pharmaceuticals
ABC,AmerisourceBergen Corporation Common Stock,27373699639,United States,,Health Care,Other Pharmaceuticals
ABCB,Ameris Bancorp Common Stock,3501953755,United States,1994,Finance,Major Banks
ABCL,AbCellera Biologics Inc. Common Shares,2432862216,Canada,2020,,
ABCM,Abcam plc American Depositary Shares,3845245135,United Kingdom,2020,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ABEO,Abeona Therapeutics Inc. Common Stock,33736782,United States,,Health Care,Biotechnology: Pharmaceutical Preparations
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),42022247982,,2013,Consumer Non-Durables,Beverages (Production/Distribution)
ABG,Asbury Automotive Group Inc Common Stock,3638089454,United States,2002,Consumer Services,Other Specialty Stores
ABGI,ABG Acquisition Corp. I Class A Ordinary Shares,187912386,United States,2021,Finance,Business Services
ABIO,ARCA biopharma Inc. Common Stock,27667475,United States,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ABM,ABM Industries Incorporated Common Stock,2778212993,United States,,Technology,Diversified Commercial Services
ABMD,ABIOMED Inc. Common Stock,13857170529,United States,,Health Care,Medical/Dental Instruments
ABNB,Airbnb Inc. Class A Common Stock,93473616367,United States,2020,Transportation,Other Consumer Services
ABOS,Acumen Pharmaceuticals Inc. Common Stock,209636273,United States,2021,Health Care,Biotechnology: Pharmaceutical Preparations
ABR,Arbor Realty Trust Common Stock,2561606810,United States,2004,Consumer Services,Real Estate Investment Trusts
ABR^D,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,,United States,,,
ABR^E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,,United States,,,
ABR^F,Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per share,,United States,,,
ABSI,Absci Corporation Common Stock,625918351,United States,2021,Health Care,Biotechnology: Pharmaceutical Preparations
ABST,Absolute Software Corporation Common Stock,381625574,Canada,2020,,
ABT,Abbott Laboratories Common Stock,2.22504E+11,United States,,Health Care,Medical/Dental Instruments
ABTX,Allegiance Bancshares Inc. Common Stock,887447048,United States,2015,Finance,Major Banks
ABUS,Arbutus Biopharma Corporation Common Stock,365641102,Canada,,,
ABVC,ABVC BioPharma Inc. Common Stock,77817535,United States,,Health Care,Biotechnology: Pharmaceutical Preparations
AC,Associated Capital Group Inc. Common Stock,930189529,United States,2015,Finance,Investment Bankers/Brokers/Service
ACA,Arcosa Inc. Common Stock ,2313058437,,2018,Capital Goods,Engineering & Construction
ACABU,Atlantic Coastal Acquisition Corp. II Unit,0,United States,2022,,
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,3404811466,United States,2004,Health Care,Biotechnology: Pharmaceutical Preparations
ACAH,Atlantic Coastal Acquisition Corp. Class A Common Stock,429093750,United States,2021,,
ACAHU,Atlantic Coastal Acquisition Corp. Unit,0,United States,2021,,
ACAHW,Atlantic Coastal Acquisition Corp. Warrant,0,United States,2021,,
ACAQ,Athena Consumer Acquisition Corp. Class A Common Stock,222231750,,2021,,
ACB,Aurora Cannabis Inc. Common Shares,884097000,Canada,,,
ACBA,Ace Global Business Acquisition Limited Ordinary Shares,61238632,Hong Kong,2021,Miscellaneous,Business Services
ACBAW,Ace Global Business Acquisition Limited Warrant,0,Hong Kong,2021,Finance,Business Services
ACBI,Atlantic Capital Bancshares Inc. Common Stock,599598441,United States,,Finance,Major Banks
ACC,American Campus Communities Inc Common Stock,7216664958,United States,2004,Consumer Services,Real Estate Investment Trusts
ACCD,Accolade Inc. Common Stock,1203242089,United States,2020,,
ACCO,Acco Brands Corporation Common Stock,763932287,United States,,Consumer Services,Advertising
ACDI,Ascendant Digital Acquisition Corp. III Class A Ordinary Shares,371250000,,2021,,
ACEL,Accel Entertainment Inc. ,1123162117,United States,2017,Consumer Services,Recreational Products/Toys
ACER,Acer Therapeutics Inc. Common Stock (DE),30337717,United States,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACET,Adicet Bio Inc. Common Stock ,233706648,United States,2018,Health Care,Biotechnology: Pharmaceutical Preparations
ACEV,ACE Convergence Acquisition Corp. Class A Ordinary Shares,287284375,United States,2020,Technology,Semiconductors
ACEVU,ACE Convergence Acquisition Corp. Unit,0,United States,2020,Technology,Semiconductors
ACEVW,ACE Convergence Acquisition Corp. Warrant,0,United States,2020,Technology,Semiconductors
ACGL,Arch Capital Group Ltd. Common Stock,17449383846,Bermuda,,Finance,Property-Casualty Insurers
ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,0,Bermuda,,Finance,Property-Casualty Insurers
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,0,Bermuda,,Finance,Property-Casualty Insurers
ACH,Aluminum Corporation of China Limited American Depositary Shares,9805059619,China,2001,Basic Industries,Aluminum
ACHC,Acadia Healthcare Company Inc. Common Stock,4770185073,United States,,Health Care,Hospital/Nursing Management
ACHL,Achilles Therapeutics plc American Depositary Shares,163632061,United Kingdom,2021,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACHR,Archer Aviation Inc. Class A Common Stock,790311544,United States,2020,Capital Goods,Aerospace
ACHV,Achieve Life Sciences Inc. Common Shares,74021234,United States,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACI,Albertsons Companies Inc. Class A Common Stock,13662581197,United States,2020,Consumer Services,Food Chains
ACII,Atlas Crest Investment Corp. II Class A Common Stock,419282813,,2021,,
ACIU,AC Immune SA Common Stock,315344730,Switzerland,2016,Health Care,Biotechnology: Pharmaceutical Preparations
ACIW,ACI Worldwide Inc. Common Stock,3912611456,United States,,Technology,EDP Services
ACKIT,Ackrell SPAC Partners I Co. Subunits,0,United States,2021,,
ACKIU,Ackrell SPAC Partners I Co. Units,0,United States,2020,,
ACKIW,Ackrell SPAC Partners I Co. Warrants,0,United States,2021,,
ACLS,Axcelis Technologies Inc. Common Stock,1998373862,United States,2000,Technology,Industrial Machinery/Components
ACM,AECOM Common Stock,9847505397,United States,2007,Consumer Services,Military/Government/Technical
ACMR,ACM Research Inc. Class A Common Stock,1436167549,United States,2017,Technology,Industrial Machinery/Components
ACN,Accenture plc Class A Ordinary Shares (Ireland),2.12118E+11,Ireland,2001,Miscellaneous,Business Services
ACNB,ACNB Corporation Common Stock,294154252,United States,,Finance,Major Banks
ACOR,Acorda Therapeutics Inc. Common Stock,20836170,United States,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACP,Aberdeen Income Credit Strategies Fund Common Shares,232385832,United States,2011,Finance,Investment Managers
