Symbol,Name,Market Cap
AAPL,Apple Inc. Common Stock,"2,815,757,389,400"
ABNB,"Airbnb, Inc. Class A Common Stock","93,473,616,367"
ADBE,Adobe Inc. Common Stock,"237,857,178,000"
ADI,"Analog Devices, Inc. Common Stock","83,800,748,797"
ADP,"Automatic Data Processing, Inc. Common Stock","91,495,117,039"
ADSK,"Autodesk, Inc. Common Stock","52,615,441,612"
AEP,"American Electric Power Company, Inc. Common Stock","44,660,166,374"
ALGN,"Align Technology, Inc. Common Stock","36,491,623,272"
AMAT,"Applied Materials, Inc. Common Stock","120,002,599,275"
AMD,"Advanced Micro Devices, Inc. Common Stock","143,476,198,159"
AMGN,Amgen Inc. Common Stock,"128,266,911,203"
AMZN,"Amazon.com, Inc. Common Stock","1,446,821,159,193"
ANSS,"ANSYS, Inc. Common Stock","28,421,775,933"
ASML,ASML Holding N.V. New York Registry Shares,"282,390,009,933"
ATVI,"Activision Blizzard, Inc. Common Stock","63,362,586,308"
AVGO,Broadcom Inc. Common Stock,"220,156,785,957"
BIDU,"Baidu, Inc. ADS","54,589,522,587"
BIIB,Biogen Inc. Common Stock,"32,392,780,850"
BKNG,Booking Holdings Inc. Common Stock,"96,329,186,922"
CDNS,"Cadence Design Systems, Inc. Common Stock","41,100,010,300"
CHTR,"Charter Communications, Inc. Class A Common Stock New","116,729,012,145"
CMCSA,Comcast Corporation Class A Common Stock,"227,212,543,028"
COST,Costco Wholesale Corporation Common Stock,"213,561,519,582"
CPRT,"Copart, Inc. (DE) Common Stock","30,049,406,124"
CRWD,"CrowdStrike Holdings, Inc. Class A Common Stock","37,779,065,195"
CSCO,"Cisco Systems, Inc. Common Stock (DE)","239,053,939,537"
CSX,CSX Corporation Common Stock,"75,633,234,315"
CTAS,Cintas Corporation Common Stock,"39,367,549,918"
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,"44,257,711,107"
DDOG,"Datadog, Inc. Class A Common Stock","39,173,655,002"
DLTR,Dollar Tree Inc. Common Stock,"28,396,203,328"
DOCU,"DocuSign, Inc. Common Stock","22,979,400,616"
DXCM,"DexCom, Inc. Common Stock","40,910,790,551"
EA,Electronic Arts Inc. Common Stock,"39,313,159,958"
EBAY,eBay Inc. Common Stock,"37,272,265,121"
EXC,Exelon Corporation Common Stock,"55,539,100,768"
FAST,Fastenal Company Common Stock,"32,508,232,768"
FB,"Meta Platforms, Inc. Class A Common Stock","854,770,989,368"
FISV,"Fiserv, Inc. Common Stock","69,231,919,970"
FTNT,"Fortinet, Inc. Common Stock","47,194,214,384"
GILD,"Gilead Sciences, Inc. Common Stock","85,937,815,092"
GOOG,Alphabet Inc. Class C Capital Stock,"1,727,007,710,149"
GOOGL,Alphabet Inc. Class A Common Stock,"1,730,452,645,278"
HON,Honeywell International Inc. Common Stock,"141,195,552,173"
IDXX,"IDEXX Laboratories, Inc. Common Stock","42,562,999,472"
ILMN,"Illumina, Inc. Common Stock","57,196,422,000"
