,entry_strategies,exit_strategies,profit_mean,profit_min,profit_max
47,Buy Hold Entry,Buy Hold Exit,322.15384615384613,-240.0,1291.0
654,Keltner Entry,"RSI Exit, Bollinger Exit",210.12087912087912,-341.0,772.0
635,Keltner Entry,"MFI Exit, RSI Exit",205.13186813186815,-154.0,772.0
632,Keltner Entry,"MFI Exit, MACD Exit",192.93406593406593,-289.0,623.0
653,Keltner Entry,RSI Exit,190.27472527472528,-228.0,501.0
629,Keltner Entry,MFI Exit,188.04395604395606,-282.0,801.0
613,Keltner Entry,Force Exit,174.32967032967034,-341.0,1389.0
626,Keltner Entry,MACD Exit,170.72527472527472,-131.0,955.0
630,Keltner Entry,"MFI Exit, Bollinger Exit",168.84615384615384,-262.0,856.0
615,Keltner Entry,"Force Exit, Keltner Exit",163.75824175824175,-341.0,1389.0
625,Keltner Entry,Keltner Exit,158.86813186813185,-187.0,1389.0
612,Keltner Entry,Bollinger Exit,157.75824175824175,-341.0,461.0
616,Keltner Entry,"Force Exit, MACD Exit",148.1978021978022,-341.0,815.0
656,Keltner Entry,TSI Exit,144.4945054945055,-202.0,1455.0
701,MACD Entry,"RSI Exit, Bollinger Exit",138.8021978021978,-542.0,711.0
676,MACD Entry,MFI Exit,136.27472527472528,-276.0,892.0
628,Keltner Entry,"MACD Exit, Keltner Exit",130.13186813186815,-180.0,815.0
622,Keltner Entry,"Force Exit, TSI Exit",130.0,-341.0,833.0
682,MACD Entry,"MFI Exit, RSI Exit",128.74725274725276,-488.0,670.0
700,MACD Entry,RSI Exit,127.9010989010989,-414.0,494.0
636,Keltner Entry,"MFI Exit, RSI Exit, Bollinger Exit",127.35164835164835,-341.0,856.0
659,MACD Entry,Bollinger Exit,119.92307692307692,-298.0,428.0
618,Keltner Entry,"Force Exit, MACD Exit, Keltner Exit",119.42857142857143,-341.0,815.0
1405,PVO Entry,RSI Exit,116.05494505494505,-275.0,515.0
1406,PVO Entry,"RSI Exit, Bollinger Exit",112.91208791208791,-450.0,441.0
679,MACD Entry,"MFI Exit, MACD Exit",111.83516483516483,-522.0,621.0
1387,PVO Entry,"MFI Exit, RSI Exit",109.94505494505495,-248.0,508.0
677,MACD Entry,"MFI Exit, Bollinger Exit",107.14285714285714,-488.0,766.0
1381,PVO Entry,MFI Exit,96.51648351648352,-187.0,519.0
776,"MACD Entry, Keltner Entry","MFI Exit, RSI Exit",95.12087912087912,-565.0,544.0
17,Bollinger Entry,MFI Exit,94.42857142857143,-218.0,692.0
660,MACD Entry,Force Exit,91.36263736263736,-542.0,914.0
673,MACD Entry,MACD Exit,91.26373626373626,-632.0,587.0
23,Bollinger Entry,"MFI Exit, RSI Exit",90.95604395604396,-331.0,597.0
41,Bollinger Entry,RSI Exit,90.79120879120879,-331.0,517.0
42,Bollinger Entry,"RSI Exit, Bollinger Exit",88.75824175824175,-364.0,731.0
90,Force Entry,"RSI Exit, Bollinger Exit",88.56043956043956,-428.0,428.0
1382,PVO Entry,"MFI Exit, Bollinger Exit",88.45054945054945,-310.0,814.0
770,"MACD Entry, Keltner Entry",MFI Exit,86.98901098901099,-228.0,424.0
672,MACD Entry,Keltner Exit,86.63736263736264,-294.0,914.0
795,"MACD Entry, Keltner Entry","RSI Exit, Bollinger Exit",83.42857142857143,-565.0,684.0
71,Force Entry,"MFI Exit, RSI Exit",83.4065934065934,-392.0,494.0
1364,PVO Entry,Bollinger Exit,82.94505494505495,-247.0,322.0
662,MACD Entry,"Force Exit, Keltner Exit",81.9010989010989,-542.0,914.0
0,Bollinger Entry,Bollinger Exit,80.61538461538461,-344.0,556.0
1384,PVO Entry,"MFI Exit, MACD Exit",79.01098901098901,-453.0,462.0
773,"MACD Entry, Keltner Entry","MFI Exit, MACD Exit",78.49450549450549,-565.0,460.0
771,"MACD Entry, Keltner Entry","MFI Exit, Bollinger Exit",75.67032967032966,-205.0,618.0
619,Keltner Entry,"Force Exit, RSI Exit",74.32967032967034,-341.0,1389.0
89,Force Entry,RSI Exit,74.1978021978022,-471.0,380.0
754,"MACD Entry, Keltner Entry",Force Exit,74.07692307692308,-565.0,760.0
18,Bollinger Entry,"MFI Exit, Bollinger Exit",72.84615384615384,-331.0,695.0
683,MACD Entry,"MFI Exit, RSI Exit, Bollinger Exit",72.54945054945055,-542.0,766.0
48,Force Entry,Bollinger Exit,72.53846153846153,-178.0,296.0
20,Bollinger Entry,"MFI Exit, MACD Exit",72.32967032967034,-350.0,589.0
2092,TSI Entry,"MFI Exit, RSI Exit",71.06593406593407,-414.0,536.0
823,MFI Entry,"MFI Exit, RSI Exit",71.05494505494505,-231.0,585.0
817,MFI Entry,MFI Exit,70.98901098901099,-231.0,585.0
794,"MACD Entry, Keltner Entry",RSI Exit,70.5934065934066,-565.0,367.0
663,MACD Entry,"Force Exit, MACD Exit",69.50549450549451,-542.0,760.0
1378,PVO Entry,MACD Exit,67.67032967032966,-166.0,469.0
2111,TSI Entry,"RSI Exit, Bollinger Exit",67.5934065934066,-503.0,578.0
842,MFI Entry,"RSI Exit, Bollinger Exit",66.98901098901099,-539.0,830.0
14,Bollinger Entry,MACD Exit,66.6043956043956,-312.0,648.0
841,MFI Entry,RSI Exit,66.49450549450549,-296.0,559.0
1388,PVO Entry,"MFI Exit, RSI Exit, Bollinger Exit",65.93406593406593,-450.0,814.0
703,MACD Entry,TSI Exit,65.93406593406593,-452.0,966.0
658,Keltner Entry,"TSI Exit, Keltner Exit",65.72527472527473,-341.0,797.0
766,"MACD Entry, Keltner Entry",Keltner Exit,65.64835164835165,-164.0,760.0
756,"MACD Entry, Keltner Entry","Force Exit, Keltner Exit",65.16483516483517,-565.0,760.0
66,Force Entry,"MFI Exit, Bollinger Exit",63.989010989010985,-441.0,492.0
2086,TSI Entry,MFI Exit,61.24175824175824,-216.0,356.0
675,MACD Entry,"MACD Exit, Keltner Exit",59.73626373626374,-247.0,760.0
2110,TSI Entry,RSI Exit,59.010989010989015,-475.0,323.0
49,Force Entry,Force Exit,58.73626373626374,-469.0,700.0
818,MFI Entry,"MFI Exit, Bollinger Exit",57.31868131868132,-231.0,780.0
767,"MACD Entry, Keltner Entry",MACD Exit,57.05494505494506,-135.0,416.0
51,Force Entry,"Force Exit, Keltner Exit",56.7032967032967,-469.0,700.0
68,Force Entry,"MFI Exit, MACD Exit",55.84615384615385,-469.0,354.0
777,"MACD Entry, Keltner Entry","MFI Exit, RSI Exit, Bollinger Exit",55.8021978021978,-565.0,631.0
1365,PVO Entry,Force Exit,55.40659340659341,-421.0,705.0
757,"MACD Entry, Keltner Entry","Force Exit, MACD Exit",54.62637362637363,-565.0,760.0
2087,TSI Entry,"MFI Exit, Bollinger Exit",53.2967032967033,-237.0,717.0
61,Force Entry,Keltner Exit,53.032967032967036,-228.0,700.0
800,MFI Entry,Bollinger Exit,52.97802197802198,-245.0,508.0
1951,RSI Entry,"MFI Exit, RSI Exit",52.07692307692308,-112.0,595.0
669,MACD Entry,"Force Exit, TSI Exit",51.79120879120879,-542.0,790.0
1523,"PVO Entry, MACD Entry","MFI Exit, Bollinger Exit",51.637362637362635,-123.0,808.0
72,Force Entry,"MFI Exit, RSI Exit, Bollinger Exit",51.51648351648352,-441.0,516.0
24,Bollinger Entry,"MFI Exit, RSI Exit, Bollinger Exit",51.45054945054945,-364.0,731.0
820,MFI Entry,"MFI Exit, MACD Exit",51.18681318681319,-481.0,537.0
631,Keltner Entry,"MFI Exit, Keltner Exit",51.142857142857146,-341.0,691.0
2186,"TSI Entry, Keltner Entry","MFI Exit, RSI Exit",50.38461538461539,-128.0,536.0
64,Force Entry,"MACD Exit, Keltner Exit",50.23076923076923,-233.0,586.0
52,Force Entry,"Force Exit, MACD Exit",49.417582417582416,-469.0,586.0
1367,PVO Entry,"Force Exit, Keltner Exit",49.31868131868132,-450.0,700.0
1969,RSI Entry,RSI Exit,48.967032967032964,-112.0,569.0
1380,PVO Entry,"MACD Exit, Keltner Exit",47.934065934065934,-174.0,532.0
1434,"PVO Entry, Bollinger Entry","MFI Exit, RSI Exit",47.494505494505496,-229.0,604.0
634,Keltner Entry,"MFI Exit, MACD Exit, Keltner Exit",47.2967032967033,-341.0,799.0
165,"Force Entry, Keltner Entry","MFI Exit, RSI Exit",46.91208791208791,-140.0,424.0
1452,"PVO Entry, Bollinger Entry",RSI Exit,46.86813186813187,-229.0,578.0
2069,TSI Entry,Bollinger Exit,46.81318681318681,-141.0,235.0
212,"Force Entry, MACD Entry","MFI Exit, RSI Exit",46.37362637362637,-231.0,461.0
753,"MACD Entry, Keltner Entry",Bollinger Exit,46.2967032967033,-292.0,386.0
665,MACD Entry,"Force Exit, MACD Exit, Keltner Exit",46.252747252747255,-542.0,760.0
1428,"PVO Entry, Bollinger Entry",MFI Exit,46.23076923076923,-134.0,604.0
92,Force Entry,TSI Exit,45.747252747252745,-366.0,747.0
231,"Force Entry, MACD Entry","RSI Exit, Bollinger Exit",45.73626373626374,-231.0,375.0
13,Bollinger Entry,Keltner Exit,45.7032967032967,-347.0,914.0
1368,PVO Entry,"Force Exit, MACD Exit",45.53846153846154,-450.0,733.0
65,Force Entry,MFI Exit,44.69230769230769,-194.0,382.0
964,"MFI Entry, MACD Entry","MFI Exit, RSI Exit",44.604395604395606,-228.0,558.0
627,Keltner Entry,"MACD Exit, Bollinger Exit",44.527472527472526,-341.0,781.0
769,"MACD Entry, Keltner Entry","MACD Exit, Keltner Exit",44.417582417582416,-226.0,760.0
983,"MFI Entry, MACD Entry","RSI Exit, Bollinger Exit",44.252747252747255,-435.0,755.0
1453,"PVO Entry, Bollinger Entry","RSI Exit, Bollinger Exit",44.032967032967036,-229.0,527.0
16,Bollinger Entry,"MACD Exit, Keltner Exit",43.83516483516483,-311.0,912.0
1945,RSI Entry,MFI Exit,43.7032967032967,-144.0,595.0
2089,TSI Entry,"MFI Exit, MACD Exit",43.69230769230769,-416.0,455.0
824,MFI Entry,"MFI Exit, RSI Exit, Bollinger Exit",43.21978021978022,-539.0,830.0
184,"Force Entry, Keltner Entry","RSI Exit, Bollinger Exit",43.15384615384615,-137.0,466.0
1946,RSI Entry,"MFI Exit, Bollinger Exit",43.07692307692308,-112.0,557.0
959,"MFI Entry, MACD Entry","MFI Exit, Bollinger Exit",42.53846153846154,-228.0,769.0
207,"Force Entry, MACD Entry","MFI Exit, Bollinger Exit",42.32967032967033,-231.0,523.0
982,"MFI Entry, MACD Entry",RSI Exit,42.26373626373626,-228.0,533.0
1377,PVO Entry,Keltner Exit,42.175824175824175,-237.0,700.0
1970,RSI Entry,"RSI Exit, Bollinger Exit",42.15384615384615,-112.0,321.0
2181,"TSI Entry, Keltner Entry","MFI Exit, Bollinger Exit",42.0989010989011,-128.0,717.0
797,"MACD Entry, Keltner Entry",TSI Exit,41.72527472527472,-231.0,721.0
1528,"PVO Entry, MACD Entry","MFI Exit, RSI Exit",40.59340659340659,-450.0,356.0
2205,"TSI Entry, Keltner Entry","RSI Exit, Bollinger Exit",40.494505494505496,-128.0,334.0
1374,PVO Entry,"Force Exit, TSI Exit",39.9010989010989,-450.0,502.0
958,"MFI Entry, MACD Entry",MFI Exit,39.8021978021978,-228.0,558.0
1429,"PVO Entry, Bollinger Entry","MFI Exit, Bollinger Exit",39.362637362637365,-229.0,798.0
4,Bollinger Entry,"Force Exit, MACD Exit",39.34065934065934,-364.0,912.0
814,MFI Entry,MACD Exit,39.08791208791209,-293.0,537.0
655,Keltner Entry,"RSI Exit, Keltner Exit",39.07692307692308,-341.0,1389.0
1408,PVO Entry,TSI Exit,38.86813186813187,-270.0,747.0
763,"MACD Entry, Keltner Entry","Force Exit, TSI Exit",38.8021978021978,-565.0,721.0
1547,"PVO Entry, MACD Entry","RSI Exit, Bollinger Exit",38.68131868131868,-450.0,375.0
58,Force Entry,"Force Exit, TSI Exit",38.46153846153846,-555.0,616.0
1522,"PVO Entry, MACD Entry",MFI Exit,38.2967032967033,-123.0,339.0
1411,"PVO Entry, Bollinger Entry",Bollinger Exit,37.37362637362637,-229.0,527.0
230,"Force Entry, MACD Entry",RSI Exit,37.16483516483517,-231.0,344.0
62,Force Entry,MACD Exit,36.94505494505494,-276.0,234.0
2183,"TSI Entry, Keltner Entry","MFI Exit, MACD Exit",36.05494505494506,-128.0,460.0
2016,"RSI Entry, Bollinger Entry",RSI Exit,35.86813186813187,-120.0,578.0
1998,"RSI Entry, Bollinger Entry","MFI Exit, RSI Exit",35.83516483516483,-120.0,604.0
2083,TSI Entry,MACD Exit,35.32967032967033,-222.0,345.0
54,Force Entry,"Force Exit, MACD Exit, Keltner Exit",35.2967032967033,-469.0,586.0
3,Bollinger Entry,"Force Exit, Keltner Exit",34.84615384615385,-364.0,914.0
2204,"TSI Entry, Keltner Entry",RSI Exit,34.75824175824176,-128.0,213.0
1669,"PVO Entry, RSI Entry","MFI Exit, RSI Exit",34.67032967032967,-112.0,595.0
2180,"TSI Entry, Keltner Entry",MFI Exit,34.21978021978022,-128.0,361.0
2070,TSI Entry,Force Exit,34.07692307692308,-503.0,579.0
965,"MFI Entry, MACD Entry","MFI Exit, RSI Exit, Bollinger Exit",34.032967032967036,-435.0,769.0
183,"Force Entry, Keltner Entry",RSI Exit,33.9010989010989,-114.0,326.0
759,"MACD Entry, Keltner Entry","Force Exit, MACD Exit, Keltner Exit",33.83516483516483,-565.0,760.0
160,"Force Entry, Keltner Entry","MFI Exit, Bollinger Exit",33.81318681318681,-287.0,523.0
1992,"RSI Entry, Bollinger Entry",MFI Exit,33.57142857142857,-147.0,604.0
1500,"PVO Entry, Keltner Entry","RSI Exit, Bollinger Exit",33.505494505494504,-375.0,436.0
1952,RSI Entry,"MFI Exit, RSI Exit, Bollinger Exit",33.02197802197802,-112.0,470.0
1993,"RSI Entry, Bollinger Entry","MFI Exit, Bollinger Exit",32.89010989010989,-120.0,496.0
306,"Force Entry, MACD Entry, Keltner Entry","MFI Exit, RSI Exit",32.67032967032967,-127.0,461.0
44,Bollinger Entry,TSI Exit,32.637362637362635,-220.0,525.0
1476,"PVO Entry, Keltner Entry","MFI Exit, Bollinger Exit",32.51648351648352,-257.0,556.0
166,"Force Entry, Keltner Entry","MFI Exit, RSI Exit, Bollinger Exit",32.24175824175824,-287.0,523.0
2093,TSI Entry,"MFI Exit, RSI Exit, Bollinger Exit",32.043956043956044,-503.0,717.0
213,"Force Entry, MACD Entry","MFI Exit, RSI Exit, Bollinger Exit",31.835164835164836,-231.0,523.0
1529,"PVO Entry, MACD Entry","MFI Exit, RSI Exit, Bollinger Exit",31.406593406593405,-450.0,808.0
159,"Force Entry, Keltner Entry",MFI Exit,31.395604395604394,-135.0,350.0
1481,"PVO Entry, Keltner Entry","MFI Exit, RSI Exit",31.186813186813186,-375.0,428.0
189,"Force Entry, MACD Entry",Bollinger Exit,31.164835164835164,-110.0,288.0
961,"MFI Entry, MACD Entry","MFI Exit, MACD Exit",30.813186813186814,-228.0,470.0
301,"Force Entry, MACD Entry, Keltner Entry","MFI Exit, Bollinger Exit",30.64835164835165,-151.0,523.0
2082,TSI Entry,Keltner Exit,30.571428571428573,-210.0,482.0
1518,"PVO Entry, MACD Entry",Keltner Exit,30.54945054945055,-133.0,700.0
206,"Force Entry, MACD Entry",MFI Exit,30.516483516483518,-122.0,350.0
1546,"PVO Entry, MACD Entry",RSI Exit,30.516483516483518,-450.0,392.0
1805,"PVO Entry, TSI Entry","MFI Exit, Bollinger Exit",30.373626373626372,-116.0,596.0
816,MFI Entry,"MACD Exit, Keltner Exit",30.274725274725274,-201.0,709.0
621,Keltner Entry,"Force Exit, RSI Exit, Keltner Exit",30.0989010989011,-341.0,1389.0
1810,"PVO Entry, TSI Entry","MFI Exit, RSI Exit",29.967032967032967,-116.0,363.0
1475,"PVO Entry, Keltner Entry",MFI Exit,29.87912087912088,-146.0,343.0
1506,"PVO Entry, MACD Entry",Force Exit,29.802197802197803,-450.0,700.0
494,"Force Entry, TSI Entry","MFI Exit, RSI Exit",29.032967032967033,-124.0,363.0
190,"Force Entry, MACD Entry",Force Exit,28.67032967032967,-231.0,700.0
1617,"PVO Entry, MACD Entry, Keltner Entry","MFI Exit, Bollinger Exit",28.67032967032967,-122.0,409.0
1928,RSI Entry,Bollinger Exit,28.34065934065934,-140.0,518.0
2017,"RSI Entry, Bollinger Entry","RSI Exit, Bollinger Exit",28.032967032967033,-120.0,334.0
1525,"PVO Entry, MACD Entry","MFI Exit, MACD Exit",27.736263736263737,-414.0,437.0
941,"MFI Entry, MACD Entry",Bollinger Exit,27.63736263736264,-176.0,483.0
307,"Force Entry, MACD Entry, Keltner Entry","MFI Exit, RSI Exit, Bollinger Exit",27.516483516483518,-127.0,523.0
1622,"PVO Entry, MACD Entry, Keltner Entry","MFI Exit, RSI Exit",27.406593406593405,-122.0,356.0
1829,"PVO Entry, TSI Entry","RSI Exit, Bollinger Exit",27.307692307692307,-116.0,356.0
1508,"PVO Entry, MACD Entry","Force Exit, Keltner Exit",27.13186813186813,-450.0,700.0
1549,"PVO Entry, MACD Entry",TSI Exit,27.12087912087912,-180.0,747.0
2164,"TSI Entry, Keltner Entry",Force Exit,27.10989010989011,-128.0,326.0
325,"Force Entry, MACD Entry, Keltner Entry","RSI Exit, Bollinger Exit",27.032967032967033,-127.0,476.0
2166,"TSI Entry, Keltner Entry","Force Exit, Keltner Exit",26.967032967032967,-128.0,323.0
1687,"PVO Entry, RSI Entry",RSI Exit,26.846153846153847,-112.0,569.0
2072,TSI Entry,"Force Exit, Keltner Exit",26.813186813186814,-503.0,579.0
1435,"PVO Entry, Bollinger Entry","MFI Exit, RSI Exit, Bollinger Exit",26.615384615384617,-229.0,798.0
844,MFI Entry,TSI Exit,26.615384615384617,-342.0,907.0
145,"Force Entry, Keltner Entry","Force Exit, Keltner Exit",26.36263736263736,-287.0,359.0
1623,"PVO Entry, MACD Entry, Keltner Entry","MFI Exit, RSI Exit, Bollinger Exit",26.35164835164835,-122.0,409.0
